,index,Device_ID_geo,Latitude,Longitude,Timestamp,Location_Name,Service_Provider_ID
2968,2371,42181141-adf9-2b5d-deea-18a2a9234a11,16.82445,42.6768,2023-10-10 20:59:40,42181141-adf9-2b5d-deea-18a2a9234a11,9
2969,2372,42181141-adf9-2b5d-deea-18a2a9234a11,16.77363,42.73683,2023-10-10 21:05:36,42181141-adf9-2b5d-deea-18a2a9234a11,9
2970,2373,42181141-adf9-2b5d-deea-18a2a9234a11,16.77368,42.73683,2023-10-10 21:05:37,42181141-adf9-2b5d-deea-18a2a9234a11,9
2971,2374,42181141-adf9-2b5d-deea-18a2a9234a11,16.77361,42.73683,2023-10-10 21:05:40,42181141-adf9-2b5d-deea-18a2a9234a11,9
2972,2375,42181141-adf9-2b5d-deea-18a2a9234a11,16.7736,42.73687,2023-10-10 21:05:42,42181141-adf9-2b5d-deea-18a2a9234a11,9
2973,2376,42181141-adf9-2b5d-deea-18a2a9234a11,16.77367,42.73681,2023-10-10 21:05:48,42181141-adf9-2b5d-deea-18a2a9234a11,9
2974,2377,42181141-adf9-2b5d-deea-18a2a9234a11,16.76413,42.8258,2023-10-10 21:12:04,42181141-adf9-2b5d-deea-18a2a9234a11,9
2975,2378,42181141-adf9-2b5d-deea-18a2a9234a11,16.76412,42.82589,2023-10-10 21:12:08,42181141-adf9-2b5d-deea-18a2a9234a11,9
2976,2379,42181141-adf9-2b5d-deea-18a2a9234a11,16.76413,42.82584,2023-10-10 21:12:52,42181141-adf9-2b5d-deea-18a2a9234a11,9
2977,2380,42181141-adf9-2b5d-deea-18a2a9234a11,16.76412,42.82584,2023-10-10 21:12:57,42181141-adf9-2b5d-deea-18a2a9234a11,9
2978,2381,42181141-adf9-2b5d-deea-18a2a9234a11,16.78894,42.9658,2023-10-10 21:44:04,42181141-adf9-2b5d-deea-18a2a9234a11,9
2979,2382,42181141-adf9-2b5d-deea-18a2a9234a11,16.78893,42.96582,2023-10-10 21:44:08,42181141-adf9-2b5d-deea-18a2a9234a11,9
2980,2383,42181141-adf9-2b5d-deea-18a2a9234a11,16.78892,42.96584,2023-10-10 21:44:50,42181141-adf9-2b5d-deea-18a2a9234a11,9
2981,2384,42181141-adf9-2b5d-deea-18a2a9234a11,16.78895,42.9658,2023-10-10 21:44:53,42181141-adf9-2b5d-deea-18a2a9234a11,9
2982,2385,42181141-adf9-2b5d-deea-18a2a9234a11,16.7889,42.9658,2023-10-10 21:44:57,42181141-adf9-2b5d-deea-18a2a9234a11,9
2983,2386,42181141-adf9-2b5d-deea-18a2a9234a11,16.71896,42.95506,2023-10-10 22:27:34,42181141-adf9-2b5d-deea-18a2a9234a11,9
2984,2387,42181141-adf9-2b5d-deea-18a2a9234a11,16.71456,42.95591,2023-10-10 22:30:10,42181141-adf9-2b5d-deea-18a2a9234a11,9
2985,2388,42181141-adf9-2b5d-deea-18a2a9234a11,16.71451,42.95598,2023-10-10 22:30:15,42181141-adf9-2b5d-deea-18a2a9234a11,9
2986,2389,42181141-adf9-2b5d-deea-18a2a9234a11,16.71456,42.95592,2023-10-10 22:30:22,42181141-adf9-2b5d-deea-18a2a9234a11,9
2987,2390,42181141-adf9-2b5d-deea-18a2a9234a11,16.71451,42.95592,2023-10-10 22:30:51,42181141-adf9-2b5d-deea-18a2a9234a11,9
2988,2391,42181141-adf9-2b5d-deea-18a2a9234a11,16.71457,42.95586,2023-10-10 23:03:01,42181141-adf9-2b5d-deea-18a2a9234a11,9
2989,2392,42181141-adf9-2b5d-deea-18a2a9234a11,16.71458,42.95582,2023-10-10 23:03:07,42181141-adf9-2b5d-deea-18a2a9234a11,9
2990,2393,42181141-adf9-2b5d-deea-18a2a9234a11,16.7145,42.95587,2023-10-10 23:03:55,42181141-adf9-2b5d-deea-18a2a9234a11,9
2991,2394,42181141-adf9-2b5d-deea-18a2a9234a11,16.71453,42.95584,2023-10-10 23:03:59,42181141-adf9-2b5d-deea-18a2a9234a11,9
2992,2395,42181141-adf9-2b5d-deea-18a2a9234a11,16.71456,42.95581,2023-10-10 23:40:11,42181141-adf9-2b5d-deea-18a2a9234a11,9
2993,2396,42181141-adf9-2b5d-deea-18a2a9234a11,16.71452,42.95586,2023-10-10 23:40:21,42181141-adf9-2b5d-deea-18a2a9234a11,9
2994,2397,42181141-adf9-2b5d-deea-18a2a9234a11,16.71452,42.95584,2023-10-10 23:40:28,42181141-adf9-2b5d-deea-18a2a9234a11,9
2995,2398,42181141-adf9-2b5d-deea-18a2a9234a11,16.7145,42.95586,2023-10-10 23:58:12,42181141-adf9-2b5d-deea-18a2a9234a11,9
2996,2399,42181141-adf9-2b5d-deea-18a2a9234a11,16.7145,42.95583,2023-10-10 23:58:14,42181141-adf9-2b5d-deea-18a2a9234a11,9
2997,2400,42181141-adf9-2b5d-deea-18a2a9234a11,16.7145,42.95588,2023-10-10 23:58:22,42181141-adf9-2b5d-deea-18a2a9234a11,9
2998,2401,42181141-adf9-2b5d-deea-18a2a9234a11,16.7145,42.95587,2023-10-10 23:58:27,42181141-adf9-2b5d-deea-18a2a9234a11,9
2999,2402,42181141-adf9-2b5d-deea-18a2a9234a11,16.71733,42.9555,2023-10-11 00:11:34,42181141-adf9-2b5d-deea-18a2a9234a11,9
3000,2403,42181141-adf9-2b5d-deea-18a2a9234a11,16.71735,42.95551,2023-10-11 00:11:37,42181141-adf9-2b5d-deea-18a2a9234a11,9
3001,2404,42181141-adf9-2b5d-deea-18a2a9234a11,16.71731,42.95554,2023-10-11 00:11:49,42181141-adf9-2b5d-deea-18a2a9234a11,9
3002,2405,42181141-adf9-2b5d-deea-18a2a9234a11,16.71459,42.95591,2023-10-11 00:11:50,42181141-adf9-2b5d-deea-18a2a9234a11,9
